MIN=0	0	-1	-1	-1	-1	0	0	0	0	0	0
MAX=160	50	1	1	1	1	1	1	1	1	10000	1
SCALE=160	50	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	5000	0.5
DEC=2	3	3	3	3	3	1	3	3	3	1	3
DEF="Zeit" t / ms	"Frequenz" f / kHz	"Spannung" U_A1 / V	"Spannung" U_A2 / V	"Spannung" U_3 / V	"Stromstärke" I_3 / A	"f_1" f_1 / Hz	"UC_Fourier" F(U_C) / V	"U_Fourier" F(U) / V	"UR_Fourier" F(U_R) / V	"f_F" f_F / Hz	"Koef" Koef / V
0	0	-0.982	-0.0005	1	0	0	0.0124969537254721	0.000532945315023265	0.000683505127902448	50	1.27324062019551
0.01	0.006103515625	-0.982	-0.0005	1	-0.001	50	0.0127871699142766	0.000812663248826337	0.000883735207406947	150	0.424413540065169
0.02	0.01220703125	-0.9815	-0.0005	1	-0.0005	100	0.00373167878694441	0.000989163743653198	0.000470333513293622	250	0.254648124039101
0.03	0.018310546875	-0.982	-0.0005	1	0.0005	150	0.00235201249934086	0.00197746032372496	0.000734760361785822	350	0.181891517170787
0.04	0.0244140625	-0.9825	-0.0005	1	0.0005	200	0.00611484671345309	0.00558419820927253	0.000996378464785511	450	0.141471180021723
0.05	0.030517578125	-0.9815	-0.001	1	0.0005	250	0.0194980206992297	0.0190276538168711	0.00182151642451248	550	0.115749147290501
0.06	0.03662109375	-0.982	0	1	-0.0005	300	0.182700650720744	0.184308428919604	0.0120113363385789	650	0.0979415861688851
0.07	0.042724609375	-0.982	-0.0005	1	0.0005	350	0.91494276839326	0.926720727377329	0.0574891065539483	750	0.0848827080130337
0.08	0.048828125	-0.982	0	1	0.0005	400	1.3068106888339	1.32376205246938	0.0820135518644953	850	0.0748965070703239
0.09	0.054931640625	-0.9815	-0.0005	1	-0.0005	450	1.15859940150225	1.17353668508511	0.0727331657259474	950	0.0670126642208161
0.1	0.06103515625	-0.9815	-0.0005	1	0	500	0.434191239207218	0.438895572223452	0.0277153233514489	1050	0.0606305057235955
0.11	0.067138671875	-0.9815	-0.001	1	0.001	550	0.0360668304674134	0.0353691416243882	0.00281456516471612	1150	0.0553582878345872
0.12	0.0732421875	-0.982	-0.0005	1	0.0005	600	0.0249056055891343	0.0239892309587096	0.00214766156754638	1250	0.0509296248078202
0.13	0.079345703125	-0.9815	-0.001	1	-0.0005	650	0.0167763638918075	0.0156778297784306	0.00169523062836222	1350	0.047157060007241
0.14	0.08544921875	-0.982	-0.001	1	0.0005	700	0.0117362345258084	0.0104976368206723	0.00143479147625524	1450	0.0439048489722588
0.15	0.091552734375	-0.9815	-0.0005	1	0.0005	750	0.00821420984129318	0.00691166404455679	0.00128349162110626	1550	0.0410722780708228
0.16	0.09765625	-0.9815	-0.0005	1	-0.0005	800	0.00562377602120845	0.00418318561386834	0.00124594623033318	1650	0.0385830490968335
0.17	0.103759765625	-0.982	-0.0005	1	0	850	0.00345171228750565	0.00201366556919289	0.00124068507834693	1750	0.0363783034341573
0.18	0.10986328125	-0.982	-0.0005	1	0.0005	900	0.00185196681750073	0.00134060185936479	0.001289546776545	1850	0.0344119086539326
0.19	0.115966796875	-0.981	-0.0005	1	0	950	0.00145981642732202	0.00205148449838702	0.00135531645105463	1950	0.0326471953896284
0.2	0.1220703125	-0.9825	-0.0005	1	-0.001	1000	0.00239658923411651	0.00401930930904877	0.00150226639267892	2050	0.0310546492730611
0.21	0.128173828125	-0.9815	0	1	0.0025	1050	0.0040353936900512	0.00575907618826191	0.00166248758169541	2150	0.0296102469812908
0.22	0.13427734375	-0.9815	-0.0005	1	0.0005	1100	0.00948089483745187	0.0103283899961788	0.00227234967164223	2250	0.0282942360043446
0.23	0.140380859375	-0.981	-0.0005	1	0.001	1150	0.190278747455603	0.197413979079692	0.035830297423008	2350	0.0270902259616065
0.24	0.146484375	-0.982	-0.0005	1	0.001	1200	0.399352253485408	0.412854319743444	0.0745178785527336	2450	0.0259845024529695
0.25	0.152587890625	-0.9815	0.01	1	-0.0055	1250	0.413114015731683	0.428164199667941	0.0772593004555562	2550	0.0249655023567746
0.26	0.15869140625	-0.9815	0.6785	-1	-0.034	1300	0.230944739767227	0.239475357913202	0.0434954833495647	2650	0.0240234079282171
0.27	0.164794921875	-0.963	1.0225	-1	-0.0355	1350	0.0211306169743643	0.022285216972609	0.00456515703117257	2750	0.0231498294581001
0.28	0.1708984375	-0.9225	1.0225	-1	-0.035	1400	0.00217229547697889	0.00167783273249058	0.00105526253444151	2850	0.022337554740272
0.29	0.177001953125	-0.8605	1.0225	-1	-0.0315	1450	0.00287539678382528	0.00163340844196734	0.00102022604438396	2950	0.0215803494948391
0.3	0.18310546875	-0.7905	1.0225	-1	-0.0315	1500	0.0023175492211287	0.00109348458190626	0.000964284263531213	3050	0.0208727970523853
0.31	0.189208984375	-0.718	1.0225	-1	-0.0315	1550	0.0015969798830284	0.000621379602626669	0.000933401212566503	3150	0.0202101685745318
0.32	0.1953125	-0.6485	1.0225	-1	-0.03	1600	0.000961275996509831	0.000611313454293212	0.000935797884750199	3250	0.019588317233777
0.33	0.201416015625	-0.58	1.0225	-1	-0.0275	1650	0.000735624351618283	0.00108673916586592	0.000958138455093581	3350	0.0190035913462016
0.34	0.20751953125	-0.515	1.0225	-1	-0.0275	1700	0.000996349349736229	0.00182540943738662	0.00101003783336692	3450	0.0184527626115291
0.35	0.213623046875	-0.453	1.0225	-1	-0.026	1750	0.00176510966708456	0.00267387373686865	0.00110611564836966	3550	0.0179329664816268
