MIN=0	-10	-10	
MAX=10	10	10	
SCALE=10	5	5	
DEC=2	2	2	
DEF="Zeit" t / ms	"Spannung" U_B1 / V	"Spannung" U_A1 / V	
0,5	4,245	4,975	
0,55	4,48	4,735	
0,6	4,705	4,505	
0,65	4,92	4,29	
0,7	5,125	4,085	
0,75	5,315	3,89	
0,8	5,5	3,7	
0,85	5,68	3,525	
0,9	5,845	3,355	
0,95	6,005	3,195	
1	6,155	3,045	
1,05	6,3	2,9	
1,1	6,44	2,76	
1,15	6,57	2,63	
1,2	6,695	2,505	
1,25	6,815	2,385	
1,3	6,93	2,27	
1,35	7,035	2,165	
1,4	7,135	2,06	
1,45	7,235	1,96	
1,5	7,325	1,87	
1,55	7,415	1,78	
1,6	7,5	1,695	
1,65	7,58	1,615	
1,7	7,655	1,535	
1,75	7,73	1,46	
1,8	7,8	1,395	
1,85	7,865	1,325	
1,9	7,925	1,265	
1,95	7,985	1,205	
2	8,04	1,145	
2,05	8,095	1,09	
2,1	8,15	1,04	
2,15	8,195	0,99	
2,2	8,245	0,945	
2,25	8,29	0,9	
2,3	8,33	0,855	
2,35	8,37	0,815	
2,4	8,41	0,775	
2,45	8,445	0,74	
2,5	8,48	0,705	
2,55	8,51	0,67	
2,6	8,545	0,64	
2,65	8,575	0,61	
2,7	8,605	0,58	
2,75	8,63	0,55	
2,8	8,655	0,525	
2,85	8,68	0,5	
2,9	8,705	0,48	
2,95	8,725	0,455	
3	8,745	0,43	
3,05	8,77	0,415	
3,1	8,785	0,395	
3,15	8,805	0,375	
3,2	8,82	0,355	
3,25	8,84	0,34	
3,3	8,855	0,325	
3,35	8,87	0,31	
3,4	8,885	0,295	
3,45	8,895	0,28	
3,5	8,91	0,265	
3,55	8,92	0,255	
3,6	8,935	0,245	
3,65	8,945	0,23	
3,7	8,955	0,22	
3,75	8,965	0,21	
3,8	8,975	0,2	
3,85	8,985	0,19	
3,9	8,995	0,18	
3,95	9	0,175	
4	9,01	0,165	
4,05	9,015	0,16	
4,1	9,025	0,15	
4,15	9,03	0,145	
4,2	9,035	0,14	
4,25	9,045	0,13	
4,3	9,05	0,125	
4,35	9,055	0,12	
4,4	9,06	0,115	
4,45	9,065	0,11	
4,5	9,07	0,105	
4,55	9,075	0,1	
4,6	9,08	0,095	
4,65	9,085	0,09	
4,7	9,09	0,09	
4,75	9,09	0,09	
4,8	9,095	0,085	
4,85	9,1	0,08	
4,9	9,105	0,075	
4,95	9,105	0,07	
5	9,11	0,065	
5,05	9,11	0,065	
5,1	9,115	0,06	
5,15	9,115	0,06	
5,2	9,12	0,055	
5,25	9,12	0,055	
5,3	9,125	0,05	
5,35	9,125	0,05	
5,4	9,125	0,045	
5,45	9,13	0,045	
5,5	9,13	0,04	
5,55	9,13	0,04	
5,6	9,13	0,04	
5,65	9,135	0,035	
5,7	9,135	0,035	
5,75	9,14	0,035	
5,8	9,14	0,035	
5,85	9,14	0,035	
5,9	9,14	0,03	
5,95	9,145	0,03	
6	9,145	0,03	
6,05	9,145	0,03	
6,1	9,145	0,025	
6,15	9,145	0,025	
6,2	9,145	0,025	
6,25	9,15	0,025	
6,3	9,15	0,025	
6,35	9,15	0,02	
6,4	9,15	0,02	
6,45	9,155	0,02	
6,5	9,155	0,02	
6,55	9,155	0,02	
6,6	9,155	0,02	
6,65	9,155	0,02	
6,7	9,155	0,02	
6,75	9,155	0,02	
6,8	9,155	0,015	
6,85	9,155	0,015	
6,9	9,155	0,015	
6,95	9,16	0,015	
7	9,16	0,015	
7,05	9,16	0,015	
7,1	9,16	0,015	
7,15	9,16	0,01	
7,2	9,16	0,015	
7,25	9,16	0,01	
7,3	9,16	0,01	
7,35	9,16	0,015	
7,4	9,16	0,01	
7,45	9,16	0,01	
7,5	9,16	0,01	
7,55	9,16	0,01	
7,6	9,16	0,01	
7,65	9,16	0,01	
7,7	9,16	0,01	
7,75	9,165	0,01	
7,8	9,165	0,01	
7,85	9,165	0,01	
7,9	9,165	0,01	
7,95	9,165	0,01	
8	9,165	0,01	
8,05	9,165	0,01	
8,1	9,165	0,01	
8,15	9,165	0,01	
8,2	9,165	0,01	
8,25	9,165	0,01	
8,3	9,165	0,01	
8,35	9,165	0,01	
8,4	9,165	0,005	
8,45	9,165	0,01	
8,5	9,165	0,01	
8,55	9,165	0,005	
8,6	9,165	0,01	
8,65	9,165	0,005	
8,7	9,165	0,01	
8,75	9,165	0,01	
8,8	9,17	0,005	
8,85	9,165	0,01	
8,9	9,165	0,005	
8,95	9,165	0,005	
9	9,165	0,01	
9,05	9,165	0,01	
9,1	9,165	0,005	
9,15	9,165	0,005	
9,2	9,165	0,005	
9,25	9,165	0,005	
9,3	9,165	0,005	
9,35	9,165	0,005	
9,4	9,165	0,01	
9,45	9,165	0,01	
9,5	9,165	0,005	
9,55	9,165	0,01	
9,6	9,165	0,005	
9,65	9,165	0,005	
9,7	9,165	0,005	
9,75	9,17	0,005	
9,8	9,17	0,005	
9,85	9,165	0,005	
9,9	9,17	0,01	
9,95	9,165	0,005	
10	9,165	0,005	
MIN=0	-10	-10	
MAX=10	10	10	
SCALE=10	5	5	
DEC=2	2	2	
DEF="Zeit" t / ms	"Spannung" U_B1 / V	"Spannung" U_A1 / V	
0	1,05	9,17	
0,05	1,495	8,915	
0,1	1,925	8,535	
0,15	2,33	8,135	
0,2	2,72	7,75	
0,25	3,09	7,38	
0,3	3,44	7,03	
0,35	3,775	6,695	
0,4	4,095	6,37	
0,45	4,4	6,065	
0,5	4,69	5,775	
0,55	4,965	5,5	
0,6	5,225	5,235	
0,65	5,475	4,985	
0,7	5,71	4,745	
0,75	5,935	4,52	
0,8	6,15	4,305	
0,85	6,355	4,095	
0,9	6,55	3,9	
0,95	6,735	3,715	
1	6,915	3,535	
1,05	7,08	3,37	
1,1	7,24	3,21	
1,15	7,395	3,055	
1,2	7,54	2,91	
1,25	7,675	2,77	
1,3	7,81	2,64	
1,35	7,93	2,51	
1,4	8,05	2,39	
1,45	8,165	2,28	
1,5	8,275	2,17	
1,55	8,375	2,065	
1,6	8,475	1,965	
1,65	8,565	1,875	
1,7	8,655	1,785	
1,75	8,74	1,7	
1,8	8,82	1,62	
1,85	8,895	1,54	
1,9	8,97	1,47	
1,95	9,04	1,4	
2	9,105	1,33	
2,05	9,165	1,27	
2,1	9,225	1,21	
2,15	9,285	1,15	
2,2	9,34	1,095	
2,25	9,39	1,045	
2,3	9,44	0,995	
2,35	9,485	0,95	
2,4	9,53	0,905	
2,45	9,575	0,86	
2,5	9,615	0,82	
2,55	9,65	0,78	
2,6	9,69	0,745	
2,65	9,725	0,71	
2,7	9,76	0,675	
2,75	9,79	0,645	
2,8	9,815	0,61	
2,85	9,845	0,585	
2,9	9,875	0,555	
2,95	9,9	0,53	
3	9,925	0,505	
3,05	9,95	0,48	
3,1	9,97	0,46	
3,15	9,995	0,435	
3,2	10,01	0,415	
3,25	10,035	0,395	
3,3	10,05	0,375	
3,35	10,07	0,36	
3,4	10,085	0,34	
3,45	10,1	0,325	
3,5	10,115	0,31	
3,55	10,13	0,295	
3,6	10,14	0,285	
3,65	10,155	0,27	
3,7	10,165	0,255	
3,75	10,18	0,245	
3,8	10,19	0,235	
3,85	10,205	0,22	
3,9	10,215	0,21	
3,95	10,22	0,2	
4	10,23	0,195	
4,05	10,24	0,18	
4,1	10,24	0,175	
4,15	10,24	0,165	
4,2	10,24	0,16	
4,25	10,24	0,155	
4,3	10,24	0,145	
4,35	10,24	0,14	
4,4	10,24	0,13	
4,45	10,24	0,125	
4,5	10,24	0,12	
4,55	10,24	0,115	
4,6	10,24	0,11	
4,65	10,24	0,105	
4,7	10,24	0,1	
4,75	10,24	0,095	
4,8	10,24	0,09	
4,85	10,24	0,085	
4,9	10,24	0,085	
4,95	10,24	0,08	
5	10,24	0,08	
5,05	10,24	0,075	
5,1	10,24	0,07	
5,15	10,24	0,07	
5,2	10,24	0,065	
5,25	10,24	0,06	
5,3	10,24	0,06	
5,35	10,24	0,06	
5,4	10,24	0,055	
5,45	10,24	0,05	
5,5	10,24	0,05	
5,55	10,24	0,05	
5,6	10,24	0,045	
5,65	10,24	0,045	
5,7	10,24	0,04	
5,75	10,24	0,04	
5,8	10,24	0,04	
5,85	10,24	0,035	
5,9	10,24	0,035	
5,95	10,24	0,035	
6	10,24	0,035	
6,05	10,24	0,03	
6,1	10,24	0,03	
6,15	10,24	0,035	
6,2	10,24	0,03	
6,25	10,24	0,03	
6,3	10,24	0,025	
6,35	10,24	0,025	
6,4	10,24	0,025	
6,45	10,24	0,025	
6,5	10,24	0,02	
6,55	10,24	0,025	
6,6	10,24	0,02	
6,65	10,24	0,02	
6,7	10,24	0,02	
6,75	10,24	0,02	
6,8	10,24	0,015	
6,85	10,24	0,02	
6,9	10,24	0,015	
6,95	10,24	0,015	
7	10,24	0,015	
7,05	10,24	0,015	
7,1	10,24	0,015	
7,15	10,24	0,015	
7,2	10,24	0,015	
7,25	10,24	0,01	
7,3	10,24	0,015	
7,35	10,24	0,015	
7,4	10,24	0,01	
7,45	10,24	0,015	
7,5	10,24	0,01	
7,55	10,24	0,01	
7,6	10,24	0,01	
7,65	10,24	0,01	
7,7	10,24	0,01	
7,75	10,24	0,01	
7,8	10,24	0,01	
7,85	10,24	0,01	
7,9	10,24	0,01	
7,95	10,24	0,01	
8	10,24	0,01	
8,05	10,24	0,01	
8,1	10,24	0,01	
8,15	10,24	0,01	
8,2	10,24	0,01	
8,25	10,24	0,01	
8,3	10,24	0,01	
8,35	10,24	0,01	
8,4	10,24	0,01	
8,45	10,24	0,005	
8,5	10,24	0,005	
8,55	10,24	0,01	
8,6	10,24	0,01	
